character_id,name,greek_name,roman_name,character_type,gender,domain,origin_location_id,notes
64,Diomedes,Diomedes,Diomedes,Hero,Male,War and daring,8,Greek hero in the Iliad
65,Nestor,Nestor,Nestor,King,Male,Wisdom and counsel,31,King of Pylos
66,Philoctetes,Philoktetes,Philoctetes,Hero,Male,Archery and suffering,14,Greek archer linked to Troy
67,Bellerophon,Bellerophon,Bellerophon,Hero,Male,Monster slaying,17,Slayer of the Chimera
68,Pegasus,Pegasos,Pegasus,Creature,Male,Winged horse,17,Winged horse associated with Bellerophon
69,Medusa,Medousa,Medusa,Monster,Female,Gorgon power,31,Gorgon slain by Perseus
70,Stheno,Stheno,Stheno,Monster,Female,Gorgon power,31,Immortal Gorgon
71,Euryale,Euryale,Euryale,Monster,Female,Gorgon power,31,Immortal Gorgon
72,Minos,Minos,Minos,King,Male,Kingship and judgement,10,King of Crete
73,Ariadne,Ariadne,Ariadne,Princess,Female,Labyrinth and abandonment,10,Helps Theseus
74,Phaedra,Phaidra,Phaedra,Queen,Female,Desire and tragedy,10,Wife of Theseus
75,Minotaur,Minotauros,Minotaur,Monster,Male,Labyrinth,10,Creature in the Labyrinth
76,Daedalus,Daidalos,Daedalus,Craftsman,Male,Invention and craft,10,Builder of the Labyrinth
77,Icarus,Ikaros,Icarus,Mortal,Male,Flight and downfall,10,Son of Daedalus
78,Oedipus,Oidipous,Oedipus,King,Male,Fate and kingship,4,King of Thebes
79,Jocasta,Iokaste,Jocasta,Queen,Female,Fate and tragedy,4,Mother and wife of Oedipus
80,Antigone,Antigone,Antigone,Mortal,Female,Family duty and burial,4,Daughter of Oedipus
81,Ismene,Ismene,Ismene,Mortal,Female,Family and caution,4,Daughter of Oedipus
82,Eteocles,Eteokles,Eteocles,Prince,Male,Theban conflict,4,Son of Oedipus
83,Polyneices,Polyneikes,Polynices,Prince,Male,Exile and conflict,4,Son of Oedipus
84,Creon,Kreon,Creon,King,Male,Authority and law,4,King of Thebes
85,Tiresias,Teiresias,Tiresias,Prophet,Male,Prophecy,4,Blind prophet of Thebes
86,Semele,Semele,Semele,Mortal,Female,Mother of Dionysus,4,Mother of Dionysus
87,Cadmus,Kadmos,Cadmus,Hero or King,Male,Founding and dragons,4,Founder of Thebes
88,Europa,Europe,Europa,Mortal,Female,Abduction and queenship,9,Associated with Zeus and Crete
89,Leda,Leda,Leda,Mortal,Female,Motherhood and divine union,6,Mother of Helen and others
90,Pandora,Pandora,Pandora,Mortal,Female,First woman and curiosity,1,Created by the gods
91,Deucalion,Deukalion,Deucalion,Hero,Male,Flood survival,42,Survivor of the Greek flood myth
92,Pyrrha,Pyrrha,Pyrrha,Heroine,Female,Flood survival,42,Wife of Deucalion
93,Niobe,Niobe,Niobe,Queen,Female,Pride and grief,4,Boasted against Leto
94,Leto,Leto,Latona,Titaness or Goddess,Female,Motherhood,12,Mother of Apollo and Artemis
95,Maia,Maia,Maia,Nymph or Pleiad,Female,Motherhood,19,Mother of Hermes
96,Thetis,Thetis,Thetis,Nereid,Female,Sea and motherhood,24,Mother of Achilles
97,Peleus,Peleus,Peleus,Hero,Male,Kingship and marriage,30,Father of Achilles
98,Chiron,Cheiron,Chiron,Centaur,Male,Teaching and healing,30,Wise centaur
99,Atalanta,Atalante,Atalanta,Heroine,Female,Hunting and speed,18,Huntress linked to the Calydonian Boar
100,Meleager,Meleagros,Meleager,Hero,Male,Hunting and fate,18,Hero of the Calydonian Boar hunt
